甲,乙,丙,丁,戊,己,庚,辛,壬,癸,,
子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
,หลักวัน,
ม1,甲,2.0,คนที่รักจะคอยสนับสนุนกันดี เป็นสายช่วยผลักดัน พร้อมอยู่เคียงข้างแบบรักมั่นคง ดูแลกันสม่ำเสมอทั้งในเรื่องใจและชีวิตจริง,,,,,,,,,,,
1.0,子,หมกยก,,,,,,,,,,,,
ม1,甲,4.0,คนรักมักเป็นคนที่นิสัยใกล้เคียงกัน คิดเหมือนกัน ทำอะไรเป็นทีม และอีกฝ่ายอาจมีตำแหน่งหน้าที่หรืออิทธิพลในสายงานของตัวเอง,,,,,,,,,,,
3.0,寅,ลิ่มกัว,,,,,,,,,,,,
ม1,甲,6.0,หลังมีความรัก อาจรู้สึกว่าตัวเองเหนื่อยขึ้น ต้องรับผิดชอบหลายอย่าง หรือมีภาระที่เกี่ยวกับทรัพย์สิน อีกฝ่ายอาจเป็นคนเรียบร้อย หรือขี้บ่นนิด ๆ ต้องใช้ความเข้าใจ,,,,,,,,,,,
5.0,辰,ซวย,,,,,,,,,,,,
ม1,甲,8.0,เป็นสายทุ่มสุดตัวในความรัก แต่บางครั้งอาจไม่ได้รับกลับมาตามที่หวัง คนที่เข้ามาอาจอายุห่าง หรือผ่านเรื่องรักมาแล้ว และอาจเป็นคนใกล้ตัวที่ความสัมพันธ์เริ่มจืดจางลง,,,,,,,,,,,
7.0,午,ซี่,,,,,,,,,,,,
ม1,甲,10.0,ความรักค่อนข้างซับซ้อน อาจหาคนที่คลิกจริง ๆ ได้ยาก หรือถ้ามีแล้วก็มีเรื่องให้เครียดบ่อย ความสัมพันธ์อาจไม่ได้แต่งงานแบบเป็นทางการ อาจอยู่กันแบบเรียบง่ายแทน,,,,,,,,,,,
9.0,申,เจ๊าะ,,,,,,,,,,,,
