,เดิม,อาชีพเด่น แยก bullet,,,,,,,,,,,,,,,,,,,,,,
อาชีพเสริมธาตุไม้,งานด้านการเกษตร ปลูกต้นไม้ ขายดอกไม้ หรือผลิตภัณฑ์จากไม้ เช่น เฟอร์นิเจอร์ กระดาษ งานทอผ้า เสื้อผ้า ขายหนังสือ เครื่องเขียน ของใช้ในโรงเรียน งานด้านสื่อ งานมูลนิธิ งานฝีมือ การออกแบบสวน อินเทอร์เน็ต ประชาสัมพันธ์ การสื่อสาร ขายชา สมุนไพร และนำเข้าส่งออก,"- งานการเกษตร เช่น ปลูกต้นไม้ ทำสวน ขายดอกไม้ ชา สมุนไพร เพาะพันธุ์พืช
- งานผลิตภัณฑ์จากไม้ เช่น เฟอร์นิเจอร์ กระดาษ งานทอผ้า เสื้อผ้า หนังสือ เครื่องเขียน ของใช้ในโรงเรียน
- งานการสื่อสารและเครือข่าย เช่น สื่อ มูลนิธิ งานฝีมือ อินเทอร์เน็ต ประชาสัมพันธ์ การสื่อสาร งานนำเข้าส่งออก",,,,,,,,,,,,,,,,,,,,,,
อาชีพเสริมธาตุไฟ,งานที่เกี่ยวกับเครื่องใช้ไฟฟ้า อุปกรณ์โซล่าเซลล์ เครื่องครัว แว่นตา การถ่ายภาพ งานสายไฟ หลอดไฟ หรือเครื่องใช้ที่ใช้พลังงานไฟ เช่น เครื่องอบ ถ่านไฟ แบตเตอรี่ รวมถึงงานออกแบบ ความงาม เสริมสวย เครื่องสำอาง งานฝีมือ ศิลปะสร้างสรรค์ งานออกแบบ ครีเอทีฟ การตลาด งานสอน ครู อาจารย์ ที่ปรึกษา วิทยากร หรือทำงานในโรงเรียน โรงพยาบาล สถานศึกษาต่าง ๆ,"- งานที่เกี่ยวกับเครื่องใช้ไฟหรือไฟฟ้า เช่น เครื่องครัว งานสายไฟ หลอดไฟ เตาอบ ถ่านไฟ แบตเตอรี่ อุปกรณ์โซล่าเซลล์
- งานความสวยงาม เช่น งานออกแบบ เสริมสวย เครื่องสำอางค์ งานฝีมือ ศิลปะสร้างสรรค์ ครีเอทีฟ การตลาด การถ่ายภาพ 
- งานสอน เช่น ครู อาจารย์ ที่ปรึกษา วิทยากร งานในโรงเรียน โรงพยาบาล สถานศึกษา รวมถึงงานที่เกี่ยวกับแว่นตาด้วย",,,,,,,,,,,,,,,,,,,,,,
อาชีพเสริมธาตุดิน,งานที่เกี่ยวกับดิน ปุ๋ย อิฐ กระเบื้อง วัสดุก่อสร้าง ที่ดิน อสังหาริมทรัพย์ รับเหมาก่อสร้าง โกดัง ฟาร์ม อาหารสัตว์ หรือของใช้ที่ทำจากหนัง เช่น เสื้อ รองเท้า รวมถึงกระจก และงานพัฒนาที่ดิน บ้าน คอนโด อาคาร,"- งานวัสดุก่อสร้างและปศุสัตว์ เช่น ปุ๋ย อิฐ กระเบื้อง กระจก โกดัง ฟาร์ม อาหารสัตว์ หนัง
- งานที่เกี่ยวข้องกับหนังสัตว์ เช่น เสื้อ รองเท้า กระเป๋า เข็มขัด 
- งานเกี่ยวกับที่ดิน เช่น อสังหาริมทรัพย์ ซื้อขายที่ดิน รับเหมาก่อสร้าง งานพัฒนาที่ดิน บ้าน คอนโด อาคาร",,,,,,,,,,,,,,,,,,,,,,
อาชีพเสริมธาตุทอง,งานที่เกี่ยวข้องกับโลหะ เช่น เครื่องมือเหล็ก อะไหล่ รถยนต์ รถจักรยานยนต์ เทคโนโลยี เครื่องใช้ไฟฟ้า อัญมณี เพชร เงิน นาฬิกา อาวุธ แม่พิมพ์โลหะ รวมถึงอาชีพที่เกี่ยวกับกฎหมาย ความมั่นคง เช่น ทหาร ตำรวจ ศาล ผู้พิพากษา ข้าราชการ หรืองานดาราศาสตร์ มวย และตัดผม,"- งานที่เกี่ยวข้องกับโลหะ เช่น เครื่องมือเหล็ก อะไหล่ รถยนต์ รถจักรยานยนต์ เทคโนโลยี เครื่องใช้ไฟฟ้า อาวุธ แม่พิมพ์โลหะ 
- งานที่เกี่ยวกับอัญมณี เช่น เพชร เงิน จิวเวอรี่ เครื่องประดับ นาฬิกา
- งานกฎหมาย หรือหน่วยานรัฐ เช่น ทหาร ตำรวจ ศาล ผู้พิพากษา ข้าราชการ และงานอื่นๆ",,,,,,,,,,,,,,,,,,,,,,
อาชีพเสริมธาตุน้ำ,งานที่เกี่ยวกับน้ำและของเย็น เช่น ประมง ปลา เรือ ดำน้ำ ไอศกรีม กาแฟ ชา อาหารและเครื่องดื่มทุกชนิด โรงแรม ห้องเช่า ธุรกิจท่องเที่ยว งานบันเทิง นักร้อง นักแสดง งานติดต่อกับต่างประเทศ งานอิสระ รับจ้าง งานการเงิน เช่น สินเชื่อ ไฟแนนซ์ บัญชี ธนาคาร ประกัน นายหน้า รวมถึงร้านค้า ร้านของชำ ร้านสะดวกซื้อ ห้าง หุ้น มัคคุเทศก์ นำเที่ยว ขนส่ง ทำความสะอาด และงานบริการทั่วไป รวมถึงพนักงานเงินเดือน,"- งานที่เกี่ยวกับน้ำและของเย็น เช่น ประมง เรือ ดำน้ำ ไอศกรีม อาหารและเครื่องดื่มทุกชนิด
- งานบันเทิงและท่องเที่ยว เช่น วงการบันเทิง โรงแรม ห้องเช่า ธุรกิจท่องเที่ยว มัคคุเทศก์ ขนส่ง  
- งานการเงินและค้าขาย เช่น สินเชื่อ ไฟแนนซ์ หุ้น บัญชี ธนาคาร ประกัน นายหน้า ร้านสะดวกซื้อ ร้านขายของชำ ร้านสะดวกซัก",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
