หลักวัน,,,ความหมายนิสัย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม1,甲,,เป็นคนใจดี มีเมตตา รักการทำบุญ ชอบช่วยเหลือผู้อื่น มุ่งมั่น ขยัน และใฝ่รู้ มีศักดิ์ศรี รักการพัฒนาและเรียนรู้ไม่สิ้นสุด มีความอดทน ยอมคน รักความสงบ ไม่ชอบมีเรื่องกับใคร เปิดเผย ชัดเจน คิดกว้าง มองไกล มีความพยายาม และรักครอบครัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,子,,เคลื่อนไหวไว ไหวพริบดี มักระวังตัวและไม่ประมาท ชอบสังเกตและจับจังหวะก่อนลงมือ ชินกับการทำงานหรือใช้ชีวิตในช่วงกลางคืน รู้จักเลือกอยู่ในที่ที่ปลอดภัย และมีนิสัยชอบสะสมหรือเตรียมสำรองไว้ล่วงหน้าเสมอ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ทอง,หมกยก,,มีความสามารถ มีเสน่ห์น่าค้นหา แต่กลับไม่ค่อยมีใครมองเห็นคุณค่า และหาคนจริงใจได้ยาก หากคุณขยันและตั้งใจในการเรียนรู้หรือทำงาน จะทำให้มีชื่อเสียงและเป็นที่ยอมรับ แม้บางช่วงจะรู้สึกท้อแท้ เบื่อหน่าย หรือไม่มีกำลังใจ แต่หากคุณผลักดันตัวเองอย่างจริงจัง ความสำเร็จจะเกิดขึ้นแน่นอน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม1,甲,,เป็นคนใจดี มีเมตตา รักการทำบุญ ชอบช่วยเหลือผู้อื่น มุ่งมั่น ขยัน และใฝ่รู้ มีศักดิ์ศรี รักการพัฒนาและเรียนรู้ไม่สิ้นสุด มีความอดทน ยอมคน รักความสงบ ไม่ชอบมีเรื่องกับใคร เปิดเผย ชัดเจน คิดกว้าง มองไกล มีความพยายาม และรักครอบครัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,寅,,รักอิสระ มักทำงานคนเดียว ไม่ชอบพึ่งพาผู้อื่น เงียบขรึมแต่ลงมืออย่างแม่นยำ รักพื้นที่ส่วนตัวและไม่ยอมให้ใครล้ำเส้น ใช้พลังเฉพาะเมื่อจำเป็น ไม่แสดงออกเกินเหตุ และมักไม่ไว้ใจสิ่งแปลกหน้าหรือคนที่ไม่คุ้นเคย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
น้ำ,ลิ่มกัว,,มีประโยชน์ต่อคนรอบข้าง สามารถช่วยเหลือผู้อื่นให้พ้นจากปัญหาได้ แต่ควรช่วยเท่าที่จำเป็น และเหมาะสมกับสถานการณ์ หากเข้าไปยุ่งมากเกินไปอาจโดนมองในแง่ไม่ดี คุณขยัน รักความยุติธรรม แต่ควรระวังความใจดีที่อาจย้อนกลับมาทำร้ายตัวเอง ลองนำสิ่งที่ชอบมาทำเป็นธุรกิจ จะเป็นโอกาสที่ดี แต่ต้องตั้งสติให้รอบคอบ เพราะคุณอาจเชื่อคนง่าย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม1,甲,,เป็นคนใจดี มีเมตตา รักการทำบุญ ชอบช่วยเหลือผู้อื่น มุ่งมั่น ขยัน และใฝ่รู้ มีศักดิ์ศรี รักการพัฒนาและเรียนรู้ไม่สิ้นสุด มีความอดทน ยอมคน รักความสงบ ไม่ชอบมีเรื่องกับใคร เปิดเผย ชัดเจน คิดกว้าง มองไกล มีความพยายาม และรักครอบครัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,辰,,เปี่ยมด้วยพลังที่หลากหลาย มีความสามารถรอบด้าน มักแสดงออกอย่างโดดเด่นและน่าเกรงขาม บุคลิกสง่างามและลึกลับ มีพลังในการเปลี่ยนแปลงสิ่งรอบตัวได้เหมือนควบคุมธรรมชาติ และอารมณ์เปลี่ยนแปลงรวดเร็ว ยากจะคาดเดา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ไฟ,ซวย,,มีศักดิ์ศรี น่าเชื่อถือ และเป็นที่พึ่งให้คนรอบข้างได้เสมอ มีพลังบวกและสร้างรอยยิ้มให้ผู้คน แต่อย่าหลงอยู่กับความคิดหรือความรู้ของตัวเองมากเกินไป เพราะอาจทำให้เกิดความขัดแย้ง การยึดติดกับอดีตที่เคยรุ่งเรืองอาจเป็นอุปสรรค ควรเปิดใจและปรับตัวให้เข้ากับ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม1,甲,,เป็นคนใจดี มีเมตตา รักการทำบุญ ชอบช่วยเหลือผู้อื่น มุ่งมั่น ขยัน และใฝ่รู้ มีศักดิ์ศรี รักการพัฒนาและเรียนรู้ไม่สิ้นสุด มีความอดทน ยอมคน รักความสงบ ไม่ชอบมีเรื่องกับใคร เปิดเผย ชัดเจน คิดกว้าง มองไกล มีความพยายาม และรักครอบครัว,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
