# Source7 §5 custom guardian deities by chart character
# format: char | deity | degree (องศา; - = ไม่ระบุ)
# DEITY_UPPER
甲 | เง็กเซียนฮ่องเต้ ท้าวธตรฐ | 75
乙 | เจ้ากวนอิมองค์ยืนพันมือ | 105
丙 | เทพสุริยัน ท้าววิรุฬหก | 165
丁 | เทพจันทรา เทพเจ้าเตาไฟ | 195
戊 | พระกษิติครรภ์ พระพรหม | -
己 | พระแม่ธรณี | -
庚 | ท้าววิรูปักษ์ พระศิวะ | 255
辛 | ฮั้วท้อเซียงซือ พระอุปคุต | 285
壬 | เจ้าแม่ทับทิม (จุ๊ยบวยเนี้ย) | 345
癸 | ท้าวเวสสุวรรณ เทียนโห่วเสี่ยบ้อ(มารดาสวรรค์) | 15
# DEITY_LOWER
子 | พระราหู พระพิฆเนศ | 0
丑 | ไท่เสียงเหล่ากุงขี่วัว | 30
寅 | เจ้าพ่อเสือ | 60
卯 | เจ้าแม่กวนอิมองค​ยืน | 90
辰 | แชเล้งเอี๊ย เจ้าพ่อมังกรเขียว | 120
巳 | ท้าววิรูปักโข พระศิวะ | 150
午 | เจ้าพ่อกวนอูทรงม้า | 180
未 | ไท่เสียงเหล่ากุง | 210
申 | เจ้าพ่อเห้งเจีย | 240
酉 | พระสังกัจจายน์ พระปู้กุ่ยฮุก(พระศรีอริยเมตรตรัย มหายาน) | 270
戌 | เทพสามตาเออหลานเสิน | 300
亥 | เจ้าแม่กวนอิมองค์นั่งบัว พระแม่เต๋าบ้อ | 330
